D:\Project\open_source\MICCAI2022\ISECRET-main\results\train_isecret_cataract_306\train_isecret_cataract_306_last\private\mask,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.369,0.469,0.632,0.892,0.539,0.479,0.539,
D:\Project\open_source\MICCAI2022\ISECRET-main\results\train_isecret_cataract_256_private,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.397,0.499,0.659,0.900,0.568,0.513,0.568,
D:\Project\open_source\MICCAI2022\ISECRET-main\results\train_isecret_cataract_256_private,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.380,0.488,0.632,0.893,0.551,0.491,0.551,
D:\Project\open_source\MICCAI2022\ISECRET-main\results\train_isecret_cataract_256_private,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.397,0.499,0.659,0.900,0.568,0.513,0.568,
D:\Project\open_source\MICCAI2022\ISECRET-main\results\train_isecret_cataract_256_private,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.380,0.488,0.632,0.893,0.551,0.491,0.551,
D:\Project\pixDA\pixDA_GM\results\train327_4_1_drive_DG_temp_0911_pixDG_final_clamp_L1H_idt_1\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.425,0.532,0.680,0.906,0.597,0.544,0.597,
D:\Project\pixDA\pixDA_GM\results\train327_4_1_drive_DG_temp_0911_pixDG_final_clamp_L1H_idt_1\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.421,0.533,0.667,0.901,0.593,0.538,0.593,
D:\Project\pixelDA_gaussian\results\train240-39-6_pixDAG_DDP_DP3_0830_l1_100_l1g_50_DP_01_DDP_1_decay_100_RMS\test_latest_iter85\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.359,0.421,0.711,0.901,0.529,0.478,0.529,
D:\Project\pixelDA_gaussian\results\train240-39-6_pixDAG_DDP_DP3_0830_l1_100_l1g_50_DP_01_DDP_1_decay_100_RMS\test_latest_iter85\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.357,0.419,0.705,0.898,0.526,0.473,0.526,
D:\Project\pixDA\pixDA_GM\results\train410_10_4_cataract_0830_pixDG_os_combine_2layer_L1H_200\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.412,0.505,0.692,0.905,0.584,0.532,0.584,
D:\Project\pixDA\pixDA_GM\results\train410_10_4_cataract_0830_pixDG_os_combine_2layer_L1H_200\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.410,0.515,0.669,0.900,0.582,0.526,0.582,
D:\Project\open_source\Structure-preserving-Guided-Retinal-Image-Filtering-master\eyeq\fiq,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.404,0.485,0.708,0.903,0.576,0.524,0.576,
D:\Project\open_source\Structure-preserving-Guided-Retinal-Image-Filtering-master\eyeq\fiq,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.410,0.500,0.694,0.901,0.581,0.527,0.581,
D:\Project\open_source\Structure-preserving-Guided-Retinal-Image-Filtering-master\eyeq\fiq,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.404,0.485,0.708,0.903,0.576,0.524,0.576,
D:\Project\open_source\Structure-preserving-Guided-Retinal-Image-Filtering-master\eyeq\fiq,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.410,0.500,0.694,0.901,0.581,0.527,0.581,
D:\Project\pixDA\pixDA_GM\results\train240_40_1_pixDAG_DDP_DP3_drive_DG_0911_default\test_latest_iter20\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.373,0.469,0.645,0.896,0.543,0.486,0.543,
D:\Project\pixDA\pixDA_GM\results\train240_40_1_pixDAG_DDP_DP3_drive_DG_0911_default\test_latest_iter20\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.368,0.469,0.631,0.892,0.538,0.478,0.538,
D:\Project\pixDG\pixDRP\results\train501_1_6_3_fiq_1229_pixDG_OS_MICCAI_unet_256\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.485,0.590,0.731,0.915,0.653,0.606,0.653,
D:\Project\pixDG\pixDRP\results\train501_1_6_3_fiq_1229_pixDG_OS_MICCAI_unet_256\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.473,0.577,0.724,0.912,0.642,0.592,0.642,
